Production SE areas in MWh,,,,,,
Data was last updated 14-12-2018,,,,,,
,Hours,SE1,SE2,SE3,SE4,SE
22-06-2018,18 - 19,2364,3775,10297,797,17232
22-06-2018,19 - 20,2206,3828,10214,714,16961
22-06-2018,20 - 21,1698,3713,10160,618,16189
22-06-2018,21 - 22,1372,3472,10159,537,15540
22-06-2018,22 - 23,1622,3224,10170,517,15532
22-06-2018,23 - 00,1217,3142,10134,513,15006
23-06-2018,00 - 01,1191,3224,10062,546,15023
23-06-2018,01 - 02,690,3124,10036,517,14367
23-06-2018,02 - 03,664,3027,9983,510,14184
23-06-2018,03 - 04,644,2857,9947,487,13934
23-06-2018,04 - 05,665,2825,9935,464,13889
23-06-2018,05 - 06,648,2986,9892,438,13963
23-06-2018,06 - 07,814,2952,9844,388,13998
23-06-2018,07 - 08,1138,3163,9710,365,14377
23-06-2018,08 - 09,1587,3206,9739,380,14912
23-06-2018,09 - 10,1654,3436,9754,406,15250
23-06-2018,10 - 11,1909,3719,9958,442,16028
23-06-2018,11 - 12,2049,3724,9999,509,16281
23-06-2018,12 - 13,1874,3918,9925,554,16271
23-06-2018,13 - 14,1645,3813,9898,577,15933
23-06-2018,14 - 15,1551,3653,9735,616,15555
23-06-2018,15 - 16,1568,3638,9671,625,15502
23-06-2018,16 - 17,1632,3588,9664,620,15504
23-06-2018,17 - 18,1710,3701,9688,580,15679
23-06-2018,18 - 19,1658,3506,9768,527,15460
23-06-2018,19 - 20,1705,3339,9808,480,15333
23-06-2018,20 - 21,1616,3140,9781,439,14975
23-06-2018,21 - 22,1416,3131,9653,413,14613
23-06-2018,22 - 23,1390,3022,9782,387,14581
23-06-2018,23 - 00,1039,2747,9834,376,13995
24-06-2018,00 - 01,797,2471,9697,377,13343
24-06-2018,01 - 02,681,2201,9590,375,12847
24-06-2018,02 - 03,676,2120,9584,376,12756
24-06-2018,03 - 04,694,2052,9570,373,12690
24-06-2018,04 - 05,614,1878,9537,372,12401
24-06-2018,05 - 06,652,1883,9523,351,12409
24-06-2018,06 - 07,616,2042,9492,317,12467
24-06-2018,07 - 08,781,2243,9455,286,12765
24-06-2018,08 - 09,1580,2233,9459,298,13570
24-06-2018,09 - 10,2344,2423,9420,313,14501
24-06-2018,10 - 11,2443,2556,9456,325,14780
24-06-2018,11 - 12,2506,2565,9447,338,14856
24-06-2018,12 - 13,2580,2368,9467,356,14771
24-06-2018,13 - 14,2333,2291,9494,379,14497
24-06-2018,14 - 15,2270,2285,9506,395,14455
24-06-2018,15 - 16,2290,2293,9516,402,14501
24-06-2018,16 - 17,2235,2352,9504,387,14478
24-06-2018,17 - 18,2449,2605,9509,361,14924
24-06-2018,18 - 19,2707,2619,9491,349,15165
24-06-2018,19 - 20,2797,2811,9561,338,15507
24-06-2018,20 - 21,2769,2902,9530,331,15531
24-06-2018,21 - 22,3000,3012,9520,332,15864
24-06-2018,22 - 23,2839,2860,9514,338,15549
24-06-2018,23 - 00,2294,2452,9490,345,14580
25-06-2018,00 - 01,790,2180,9379,330,12679
25-06-2018,01 - 02,639,2164,9380,338,12522
25-06-2018,02 - 03,539,2026,9389,341,12295
25-06-2018,03 - 04,587,2084,9423,345,12439
25-06-2018,04 - 05,740,2126,9480,350,12696
25-06-2018,05 - 06,999,2552,9495,339,13385
25-06-2018,06 - 07,2336,3395,9579,312,15621
25-06-2018,07 - 08,3190,3894,9630,351,17064
25-06-2018,08 - 09,3498,4025,9603,361,17487
25-06-2018,09 - 10,3584,4159,9650,372,17764
25-06-2018,10 - 11,3574,4215,9656,387,17833
25-06-2018,11 - 12,3533,4137,9669,410,17748
25-06-2018,12 - 13,3574,4084,9639,407,17704
25-06-2018,13 - 14,3544,4079,9612,403,17639
25-06-2018,14 - 15,3481,4138,9618,407,17644
25-06-2018,15 - 16,3423,4134,9653,415,17624
25-06-2018,16 - 17,3375,4285,9562,397,17619
25-06-2018,17 - 18,3568,4500,9566,371,18005
25-06-2018,18 - 19,3687,4647,9554,347,18235
25-06-2018,19 - 20,3684,4561,9535,329,18108
25-06-2018,20 - 21,3561,4496,9513,307,17876
25-06-2018,21 - 22,3236,4541,9529,292,17598
25-06-2018,22 - 23,2859,4272,9470,284,16885
25-06-2018,23 - 00,1946,3856,9477,282,15561
26-06-2018,00 - 01,1063,3443,9456,265,14226
26-06-2018,01 - 02,995,3263,9494,272,14024
26-06-2018,02 - 03,1062,3139,8897,279,13377
26-06-2018,03 - 04,1031,3008,8956,289,13284
26-06-2018,04 - 05,1247,2907,8987,309,13450
26-06-2018,05 - 06,1388,3015,9057,316,13775
26-06-2018,06 - 07,2623,3864,9129,312,15927
26-06-2018,07 - 08,3638,4056,9218,355,17266
26-06-2018,08 - 09,3895,4238,9148,397,17678
26-06-2018,09 - 10,3909,4366,9235,408,17917
26-06-2018,10 - 11,3969,4368,9275,402,18013
26-06-2018,11 - 12,4039,4372,9273,411,18096
26-06-2018,12 - 13,3997,4369,9260,414,18039
26-06-2018,13 - 14,4051,4373,9258,415,18097
26-06-2018,14 - 15,4118,4364,9251,401,18134
26-06-2018,15 - 16,4061,4370,9150,413,17994
26-06-2018,16 - 17,3817,4246,9123,412,17597
26-06-2018,17 - 18,3818,4373,9121,390,17701
26-06-2018,18 - 19,3822,4428,9130,379,17759
26-06-2018,19 - 20,3808,4548,9148,355,17858
26-06-2018,20 - 21,3663,4484,9103,330,17580
26-06-2018,21 - 22,3479,4226,9100,306,17111
26-06-2018,22 - 23,3120,4059,9164,302,16646
26-06-2018,23 - 00,2378,3699,9170,306,15553
27-06-2018,00 - 01,1360,3069,9241,303,13973
27-06-2018,01 - 02,1233,2852,9196,309,13590
27-06-2018,02 - 03,1149,2813,9167,305,13434
27-06-2018,03 - 04,1212,2755,9084,287,13339
27-06-2018,04 - 05,1397,2779,9049,269,13494
27-06-2018,05 - 06,1625,2897,9012,256,13789
27-06-2018,06 - 07,3060,3741,9061,241,16102
27-06-2018,07 - 08,4009,4388,9073,281,17751
27-06-2018,08 - 09,4229,4641,9142,306,18318
27-06-2018,09 - 10,4188,4646,9124,312,18271
27-06-2018,10 - 11,4204,4672,9254,320,18450
27-06-2018,11 - 12,4200,4556,9281,329,18365
27-06-2018,12 - 13,4410,4624,9246,301,18582
27-06-2018,13 - 14,4257,4475,9237,304,18273
27-06-2018,14 - 15,4084,4480,9162,302,18028
27-06-2018,15 - 16,4045,4378,9086,306,17816
27-06-2018,16 - 17,3975,4265,8977,313,17530
27-06-2018,17 - 18,4000,4349,9073,301,17723
27-06-2018,18 - 19,3949,4249,9080,295,17572
27-06-2018,19 - 20,3872,4362,9063,289,17586
27-06-2018,20 - 21,3638,4339,8953,289,17219
27-06-2018,21 - 22,3068,4110,9012,282,16471
27-06-2018,22 - 23,2680,3731,9132,286,15829
27-06-2018,23 - 00,1542,3092,9257,293,14184
28-06-2018,00 - 01,833,2526,9267,295,12921
28-06-2018,01 - 02,776,2321,9318,286,12701
28-06-2018,02 - 03,744,2271,9455,273,12743
28-06-2018,03 - 04,737,2087,9492,261,12577
28-06-2018,04 - 05,1004,1988,9570,251,12813
28-06-2018,05 - 06,1236,2292,9591,243,13363
28-06-2018,06 - 07,2381,3299,9662,236,15578
28-06-2018,07 - 08,3678,3951,9698,276,17603
28-06-2018,08 - 09,3879,4359,9696,299,18234
28-06-2018,09 - 10,3945,4273,9705,311,18233
28-06-2018,10 - 11,3714,4205,9789,325,18033
28-06-2018,11 - 12,3700,3978,9958,347,17982
28-06-2018,12 - 13,3667,3995,10148,365,18173
28-06-2018,13 - 14,3353,4190,10253,384,18179
28-06-2018,14 - 15,3290,4171,10322,419,18202
28-06-2018,15 - 16,3159,4246,10268,475,18147
28-06-2018,16 - 17,3078,4562,10305,526,18471
28-06-2018,17 - 18,3142,4699,10372,537,18750
28-06-2018,18 - 19,3212,4762,10366,546,18886
28-06-2018,19 - 20,3218,4875,10306,564,18963
28-06-2018,20 - 21,3221,4882,10340,576,19019
28-06-2018,21 - 22,2344,4706,10258,598,17906
28-06-2018,22 - 23,2072,4424,10294,626,17416
28-06-2018,23 - 00,1933,4030,10324,639,16926
29-06-2018,00 - 01,1587,3546,10331,639,16102
29-06-2018,01 - 02,1196,3399,10359,643,15597
29-06-2018,02 - 03,1221,3332,10329,663,15545
29-06-2018,03 - 04,1488,3216,10191,684,15579
29-06-2018,04 - 05,1439,3386,10191,730,15746
29-06-2018,05 - 06,1998,3377,10156,778,16308
29-06-2018,06 - 07,2885,4153,10138,776,17953
29-06-2018,07 - 08,3835,4674,10014,808,19331
29-06-2018,08 - 09,3923,4933,9981,814,19651
29-06-2018,09 - 10,3996,4995,9946,800,19737
29-06-2018,10 - 11,3999,5028,9813,724,19564
29-06-2018,11 - 12,3980,4988,9672,643,19283
29-06-2018,12 - 13,3927,4783,9716,606,19031
29-06-2018,13 - 14,3770,4702,9849,569,18889
29-06-2018,14 - 15,3643,4613,9801,581,18637
29-06-2018,15 - 16,3486,4491,9722,515,18213
29-06-2018,16 - 17,3507,4484,9609,514,18114
29-06-2018,17 - 18,3485,4456,9609,488,18038
29-06-2018,18 - 19,3468,4530,9684,472,18153
29-06-2018,19 - 20,3615,4583,9699,452,18348
29-06-2018,20 - 21,3678,4421,9548,434,18081
29-06-2018,21 - 22,3399,4108,9629,406,17542
29-06-2018,22 - 23,3065,3494,9591,385,16536
29-06-2018,23 - 00,2121,3008,9505,353,14987
30-06-2018,00 - 01,1179,2425,9518,325,13446
30-06-2018,01 - 02,855,2250,9521,304,12930
30-06-2018,02 - 03,768,2153,9527,283,12730
30-06-2018,03 - 04,720,1922,9544,276,12462
30-06-2018,04 - 05,724,2085,9602,279,12691
30-06-2018,05 - 06,972,2107,9565,290,12933
30-06-2018,06 - 07,1521,2003,9454,297,13275
30-06-2018,07 - 08,2168,1935,9434,312,13849
30-06-2018,08 - 09,3104,2371,9421,346,15242
30-06-2018,09 - 10,3097,2484,9416,369,15366
30-06-2018,10 - 11,3171,2582,9412,395,15559
30-06-2018,11 - 12,3067,2564,9526,412,15570
30-06-2018,12 - 13,2925,2374,9538,421,15258
30-06-2018,13 - 14,2745,2082,9470,420,14717
30-06-2018,14 - 15,2667,2019,9476,427,14589
30-06-2018,15 - 16,2677,1985,9483,445,14590
30-06-2018,16 - 17,2689,2064,9435,469,14658
30-06-2018,17 - 18,2830,2161,9407,474,14871
30-06-2018,18 - 19,2932,2249,9459,470,15110
30-06-2018,19 - 20,2899,2275,9455,470,15099
30-06-2018,20 - 21,2988,2237,9399,474,15097
30-06-2018,21 - 22,2890,1971,9371,499,14730
30-06-2018,22 - 23,2816,1804,9384,493,14497
30-06-2018,23 - 00,2280,1449,9392,471,13592
1/7/2018,00 - 01,1448,1503,9457,444,12852
1/7/2018,01 - 02,1278,1512,9490,433,12713
1/7/2018,02 - 03,1041,1496,9512,412,12462
1/7/2018,03 - 04,974,1531,9523,411,12439
1/7/2018,04 - 05,1050,1496,9500,422,12469
1/7/2018,05 - 06,946,1531,9491,433,12402
1/7/2018,06 - 07,1450,1459,9514,435,12858
1/7/2018,07 - 08,2000,1465,9499,464,13427
1/7/2018,08 - 09,2389,1626,9380,519,13914
1/7/2018,09 - 10,2323,1740,9401,576,14040
1/7/2018,10 - 11,2407,2063,9454,642,14567
1/7/2018,11 - 12,2471,2142,9311,661,14585
1/7/2018,12 - 13,2459,2203,9199,662,14523
1/7/2018,13 - 14,2457,2207,9101,662,14427
1/7/2018,14 - 15,2463,2175,9078,603,14319
1/7/2018,15 - 16,2521,2194,8897,585,14197
1/7/2018,16 - 17,2822,2226,8854,575,14477
1/7/2018,17 - 18,3141,2345,8863,547,14895
1/7/2018,18 - 19,3322,2360,8863,523,15069
1/7/2018,19 - 20,3469,2467,8839,497,15272
1/7/2018,20 - 21,3473,2555,8820,477,15325
1/7/2018,21 - 22,3531,2399,8745,448,15123
1/7/2018,22 - 23,3390,2290,8747,439,14867
1/7/2018,23 - 00,3087,2068,8753,437,14345
2/7/2018,00 - 01,1393,1970,8723,419,12507
2/7/2018,01 - 02,1043,1785,8694,439,11961
2/7/2018,02 - 03,962,1839,8712,449,11962
2/7/2018,03 - 04,1031,1845,8709,458,12043
2/7/2018,04 - 05,1254,1903,8761,472,12389
2/7/2018,05 - 06,1638,2005,8775,450,12869
2/7/2018,06 - 07,2505,2727,8738,428,14399
2/7/2018,07 - 08,3383,3691,8852,468,16393
2/7/2018,08 - 09,3696,4143,8977,495,17311
2/7/2018,09 - 10,3598,4023,8921,510,17051
2/7/2018,10 - 11,3622,4002,8873,514,17011
2/7/2018,11 - 12,3589,4024,9006,550,17169
2/7/2018,12 - 13,3501,4216,9119,532,17368
2/7/2018,13 - 14,3455,4091,9136,553,17235
2/7/2018,14 - 15,3352,3994,9140,552,17039
2/7/2018,15 - 16,3354,4037,8955,573,16918
2/7/2018,16 - 17,3425,4056,8903,566,16950
2/7/2018,17 - 18,3466,4131,9001,557,17154
2/7/2018,18 - 19,3509,4164,8987,566,17225
2/7/2018,19 - 20,3514,4219,9028,565,17325
2/7/2018,20 - 21,3402,4179,9018,563,17162
2/7/2018,21 - 22,3212,4077,9013,538,16839
2/7/2018,22 - 23,2479,3719,8863,522,15583
2/7/2018,23 - 00,1678,2974,8682,520,13854
3/7/2018,00 - 01,1237,2351,8596,476,12660
3/7/2018,01 - 02,890,2287,8553,445,12175
3/7/2018,02 - 03,890,2342,8571,430,12232
3/7/2018,03 - 04,985,2375,8586,401,12346
3/7/2018,04 - 05,1171,2351,8672,385,12578
3/7/2018,05 - 06,1493,2451,8634,353,12932
3/7/2018,06 - 07,2641,3116,8689,322,14768
3/7/2018,07 - 08,3535,4021,8895,324,16775
3/7/2018,08 - 09,3653,4475,8976,379,17483
3/7/2018,09 - 10,3601,4404,8992,402,17399
3/7/2018,10 - 11,3667,4292,9005,435,17399
3/7/2018,11 - 12,3662,4164,8791,470,17087
3/7/2018,12 - 13,3646,4200,8609,514,16969
3/7/2018,13 - 14,3338,4294,8649,531,16811
3/7/2018,14 - 15,3233,4283,8825,527,16867
3/7/2018,15 - 16,3060,4224,8879,534,16696
3/7/2018,16 - 17,3145,4283,8885,557,16870
3/7/2018,17 - 18,3219,4416,8875,514,17024
3/7/2018,18 - 19,3275,4867,8818,472,17433
3/7/2018,19 - 20,3307,4778,8796,427,17308
3/7/2018,20 - 21,3275,4458,8916,396,17046
3/7/2018,21 - 22,3004,4420,8922,379,16725
3/7/2018,22 - 23,2566,4430,9043,387,16426
3/7/2018,23 - 00,1773,4110,9061,397,15340
4/7/2018,00 - 01,1460,3428,9156,420,14464
4/7/2018,01 - 02,1166,3382,9145,456,14149
4/7/2018,02 - 03,1109,3224,8946,484,13763
4/7/2018,03 - 04,1201,3072,8707,495,13475
4/7/2018,04 - 05,1481,3089,8705,493,13769
4/7/2018,05 - 06,1627,3331,8566,454,13978
4/7/2018,06 - 07,2581,3791,8484,383,15239
4/7/2018,07 - 08,3766,4399,8510,326,17001
4/7/2018,08 - 09,3863,4767,8635,354,17619
4/7/2018,09 - 10,3867,4987,8618,377,17849
4/7/2018,10 - 11,3698,4953,8551,385,17587
4/7/2018,11 - 12,3665,4889,8631,410,17595
4/7/2018,12 - 13,3698,4864,8519,443,17524
4/7/2018,13 - 14,3660,4691,8511,469,17330
4/7/2018,14 - 15,3706,4524,8356,481,17067
4/7/2018,15 - 16,3443,4328,8301,488,16560
4/7/2018,16 - 17,3349,4416,8339,484,16587
4/7/2018,17 - 18,3549,4448,8551,464,17012
4/7/2018,18 - 19,3574,4317,8492,434,16817
4/7/2018,19 - 20,3386,4222,8380,416,16403
4/7/2018,20 - 21,3146,4134,8365,358,16004
4/7/2018,21 - 22,3086,4112,8336,346,15880
4/7/2018,22 - 23,2581,3947,8286,346,15160
4/7/2018,23 - 00,1673,3236,8201,347,13457
5/7/2018,00 - 01,1300,2488,8277,328,12393
5/7/2018,01 - 02,965,2203,8408,345,11921
5/7/2018,02 - 03,804,2122,8493,342,11761
5/7/2018,03 - 04,876,2087,8508,337,11808
5/7/2018,04 - 05,1052,2121,8489,332,11994
5/7/2018,05 - 06,1303,2320,8528,306,12457
5/7/2018,06 - 07,1681,2867,8519,285,13351
5/7/2018,07 - 08,2937,3699,8657,289,15584
5/7/2018,08 - 09,3403,4180,8615,328,16526
5/7/2018,09 - 10,3473,4337,8627,337,16774
5/7/2018,10 - 11,3517,4280,8685,360,16842
5/7/2018,11 - 12,3527,4383,8488,384,16783
5/7/2018,12 - 13,3684,4223,7714,375,15996
5/7/2018,13 - 14,3710,4194,7691,383,15978
5/7/2018,14 - 15,3725,4169,7616,395,15905
5/7/2018,15 - 16,3749,4162,7606,416,15933
5/7/2018,16 - 17,3597,4132,7510,437,15676
5/7/2018,17 - 18,3555,3990,7516,436,15497
5/7/2018,18 - 19,3479,3842,7500,426,15246
5/7/2018,19 - 20,2998,3836,7483,415,14731
5/7/2018,20 - 21,2485,3844,7526,398,14254
5/7/2018,21 - 22,2067,3497,7470,376,13409
5/7/2018,22 - 23,1985,3312,7472,362,13131
5/7/2018,23 - 00,1554,2930,7410,357,12250
6/7/2018,00 - 01,942,2561,7413,315,11230
6/7/2018,01 - 02,802,2345,7390,331,10868
6/7/2018,02 - 03,730,2307,7362,330,10729
6/7/2018,03 - 04,729,2360,7375,318,10782
6/7/2018,04 - 05,982,2598,7411,303,11293
6/7/2018,05 - 06,1201,2993,7465,268,11926
6/7/2018,06 - 07,2209,3732,7429,244,13614
6/7/2018,07 - 08,3174,4172,7453,231,15030
6/7/2018,08 - 09,3439,4229,7592,255,15514
6/7/2018,09 - 10,3488,4407,7617,278,15790
6/7/2018,10 - 11,3551,4375,7635,302,15863
6/7/2018,11 - 12,3599,4295,7619,326,15839
6/7/2018,12 - 13,3540,4291,7607,352,15790
6/7/2018,13 - 14,3554,4275,7496,371,15695
6/7/2018,14 - 15,3425,4038,7436,385,15284
6/7/2018,15 - 16,3447,3915,7364,392,15118
6/7/2018,16 - 17,3205,3831,7252,419,14706
6/7/2018,17 - 18,2930,3743,7223,433,14328
6/7/2018,18 - 19,2931,3812,7207,424,14374
6/7/2018,19 - 20,2714,3786,7194,425,14119
6/7/2018,20 - 21,2518,3737,7225,432,13912
6/7/2018,21 - 22,2157,3546,7273,457,13434
6/7/2018,22 - 23,1684,3431,7376,485,12977
6/7/2018,23 - 00,1416,3031,7318,493,12258
7/7/2018,00 - 01,910,2530,7345,451,11236
7/7/2018,01 - 02,723,2436,7333,446,10938
7/7/2018,02 - 03,718,2432,7428,422,11000
7/7/2018,03 - 04,746,2342,7448,374,10910
7/7/2018,04 - 05,743,2322,7494,349,10908
7/7/2018,05 - 06,751,2423,7536,327,11037
7/7/2018,06 - 07,904,2573,7556,306,11338
7/7/2018,07 - 08,1021,2745,7618,299,11684
7/7/2018,08 - 09,2097,2989,7646,297,13029
7/7/2018,09 - 10,2263,3293,7634,307,13498
7/7/2018,10 - 11,2530,3389,7640,332,13890
7/7/2018,11 - 12,2549,3262,7606,360,13778
7/7/2018,12 - 13,2409,3232,7583,382,13607
7/7/2018,13 - 14,2376,3143,7710,390,13619
7/7/2018,14 - 15,2273,3000,7724,410,13407
7/7/2018,15 - 16,2285,2984,7682,408,13359
7/7/2018,16 - 17,2268,2864,7619,411,13161
7/7/2018,17 - 18,2393,2893,7580,405,13271
7/7/2018,18 - 19,2398,2847,7520,371,13137
7/7/2018,19 - 20,2376,2773,7631,356,13136
7/7/2018,20 - 21,2346,2662,7718,317,13043
7/7/2018,21 - 22,2426,2583,7920,320,13249
7/7/2018,22 - 23,2260,2489,7976,310,13034
7/7/2018,23 - 00,1400,2317,8096,289,12102
8/7/2018,00 - 01,952,2160,8144,292,11547
8/7/2018,01 - 02,863,2062,8095,276,11296
8/7/2018,02 - 03,778,2021,8107,263,11169
8/7/2018,03 - 04,732,1914,8111,239,10996
8/7/2018,04 - 05,688,1748,8093,219,10748
8/7/2018,05 - 06,723,1704,8154,201,10782
8/7/2018,06 - 07,735,1866,8067,190,10858
8/7/2018,07 - 08,779,1902,7963,185,10828
8/7/2018,08 - 09,1196,2096,7915,185,11391
8/7/2018,09 - 10,2043,2040,7880,191,12154
8/7/2018,10 - 11,2292,2119,8071,200,12681
8/7/2018,11 - 12,2249,2145,8226,213,12833
8/7/2018,12 - 13,2236,2090,8326,236,12888
8/7/2018,13 - 14,2165,2053,8341,260,12818
8/7/2018,14 - 15,2124,2022,8346,299,12791
8/7/2018,15 - 16,2128,1894,8348,338,12708
8/7/2018,16 - 17,2103,1927,8278,381,12688
8/7/2018,17 - 18,2171,2059,8264,404,12898
8/7/2018,18 - 19,2261,2117,8259,390,13027
8/7/2018,19 - 20,2337,2205,8258,386,13187
8/7/2018,20 - 21,2415,2364,8271,377,13426
8/7/2018,21 - 22,2353,2317,8314,362,13346
8/7/2018,22 - 23,2487,2406,8387,359,13639
8/7/2018,23 - 00,1378,2087,8370,365,12200
9/7/2018,00 - 01,757,1991,8343,377,11468
9/7/2018,01 - 02,777,1873,8284,360,11293
9/7/2018,02 - 03,743,1708,8240,359,11049
9/7/2018,03 - 04,635,1727,8217,358,10938
9/7/2018,04 - 05,761,1748,8199,351,11059
9/7/2018,05 - 06,714,1955,8190,351,11210
9/7/2018,06 - 07,1575,2737,8286,367,12964
9/7/2018,07 - 08,2410,3437,8300,392,14540
9/7/2018,08 - 09,2807,3778,8419,403,15408
9/7/2018,09 - 10,2750,3784,8481,421,15437
9/7/2018,10 - 11,2775,3611,8446,434,15267
9/7/2018,11 - 12,2614,3692,8493,433,15232
9/7/2018,12 - 13,2511,3644,8658,418,15231
9/7/2018,13 - 14,2388,3513,8821,393,15115
9/7/2018,14 - 15,2403,3465,8918,382,15169
9/7/2018,15 - 16,2192,3392,9013,376,14973
9/7/2018,16 - 17,2090,3426,8990,374,14880
9/7/2018,17 - 18,2094,3416,9073,371,14953
9/7/2018,18 - 19,2319,3415,9160,360,15254
9/7/2018,19 - 20,2298,3319,9171,346,15134
9/7/2018,20 - 21,2207,3301,9085,332,14924
9/7/2018,21 - 22,1957,3342,9106,332,14736
9/7/2018,22 - 23,1483,3083,9147,336,14048
9/7/2018,23 - 00,923,2508,9076,352,12860
10/7/2018,00 - 01,755,1935,9107,360,12157
10/7/2018,01 - 02,711,1610,9034,393,11748
10/7/2018,02 - 03,683,1592,8997,411,11683
10/7/2018,03 - 04,655,1508,8956,412,11531
10/7/2018,04 - 05,822,1480,8909,397,11608
10/7/2018,05 - 06,883,1694,8844,381,11801
10/7/2018,06 - 07,1337,2648,8792,366,13143
10/7/2018,07 - 08,2451,3609,8764,375,15199
10/7/2018,08 - 09,2923,3991,8849,423,16186
10/7/2018,09 - 10,2930,4072,8786,435,16223
10/7/2018,10 - 11,2929,4104,8814,455,16302
10/7/2018,11 - 12,2909,4146,8834,471,16359
10/7/2018,12 - 13,2873,4111,8948,482,16413
10/7/2018,13 - 14,2761,3896,8949,445,16051
10/7/2018,14 - 15,2717,3708,8844,419,15687
10/7/2018,15 - 16,2764,3659,8872,405,15700
10/7/2018,16 - 17,2715,3707,8873,398,15693
10/7/2018,17 - 18,2916,3876,8823,381,15996
10/7/2018,18 - 19,2998,3952,8714,356,16020
10/7/2018,19 - 20,3031,3984,8634,340,15988
10/7/2018,20 - 21,2963,3671,8584,329,15548
10/7/2018,21 - 22,2602,3377,8482,325,14787
10/7/2018,22 - 23,2218,3034,8477,317,14046
10/7/2018,23 - 00,1065,2319,8306,331,12020
11/7/2018,00 - 01,786,1869,8334,377,11365
11/7/2018,01 - 02,857,1626,8305,397,11184
11/7/2018,02 - 03,825,1419,8292,418,10954
11/7/2018,03 - 04,788,1328,8287,438,10840
11/7/2018,04 - 05,955,1378,8326,454,11114
11/7/2018,05 - 06,918,1773,8317,448,11456
11/7/2018,06 - 07,1319,2656,8355,424,12753
11/7/2018,07 - 08,2444,3643,8457,429,14973
11/7/2018,08 - 09,3035,4185,8649,480,16349
11/7/2018,09 - 10,3150,4253,8722,520,16645
11/7/2018,10 - 11,3064,4241,8723,579,16607
11/7/2018,11 - 12,3061,4237,8668,582,16548
11/7/2018,12 - 13,2955,4018,8612,572,16157
11/7/2018,13 - 14,2851,3859,8605,556,15871
11/7/2018,14 - 15,2963,3807,8547,510,15827
11/7/2018,15 - 16,2926,3575,8551,467,15519
11/7/2018,16 - 17,3090,3508,8529,443,15569
11/7/2018,17 - 18,3150,3737,8650,425,15961
11/7/2018,18 - 19,3361,3994,8782,381,16518
11/7/2018,19 - 20,3241,4079,8676,348,16344
11/7/2018,20 - 21,2858,3800,8566,324,15547
11/7/2018,21 - 22,2597,3493,8485,309,14883
11/7/2018,22 - 23,2316,3239,8485,298,14337
11/7/2018,23 - 00,1488,2597,8398,295,12779
12/7/2018,00 - 01,929,1931,8407,276,11543
12/7/2018,01 - 02,790,1654,8413,275,11132
12/7/2018,02 - 03,729,1577,8398,284,10988
12/7/2018,03 - 04,700,1559,8372,298,10929
12/7/2018,04 - 05,996,1512,8377,313,11196
12/7/2018,05 - 06,1010,1727,8369,322,11427
12/7/2018,06 - 07,1737,2502,8358,335,12932
12/7/2018,07 - 08,2752,3469,8385,364,14970
12/7/2018,08 - 09,3277,4033,8500,399,16209
12/7/2018,09 - 10,3250,4080,8575,434,16340
12/7/2018,10 - 11,3316,4248,8609,461,16633
12/7/2018,11 - 12,3341,4101,8572,474,16488
12/7/2018,12 - 13,3007,3983,8563,473,16025
12/7/2018,13 - 14,2671,3782,8432,457,15341
12/7/2018,14 - 15,2770,3682,8423,450,15324
12/7/2018,15 - 16,2762,3538,8412,421,15133
12/7/2018,16 - 17,2664,3380,8405,408,14856
12/7/2018,17 - 18,2877,3799,8405,401,15482
12/7/2018,18 - 19,2928,4027,8529,381,15865
12/7/2018,19 - 20,2897,4163,8536,363,15959
12/7/2018,20 - 21,2877,3793,8453,357,15479
12/7/2018,21 - 22,2627,3429,8364,347,14768
12/7/2018,22 - 23,2056,3049,8349,341,13795
12/7/2018,23 - 00,1209,2425,8289,333,12256
13-07-2018,00 - 01,679,1664,8258,316,10917
13-07-2018,01 - 02,664,1396,8228,303,10591
13-07-2018,02 - 03,655,1343,8212,293,10504
13-07-2018,03 - 04,641,1350,8236,301,10528
13-07-2018,04 - 05,885,1316,8231,302,10734
13-07-2018,05 - 06,936,1558,8218,297,11009
13-07-2018,06 - 07,1655,2218,8374,281,12528
13-07-2018,07 - 08,2485,3263,8307,321,14376
13-07-2018,08 - 09,3005,3735,8485,322,15546
13-07-2018,09 - 10,3139,3835,8449,377,15799
13-07-2018,10 - 11,3022,3642,8450,355,15468
13-07-2018,11 - 12,3110,3361,8375,334,15180
13-07-2018,12 - 13,2540,3252,8294,346,14432
13-07-2018,13 - 14,2373,3279,8326,352,14329
13-07-2018,14 - 15,2302,3254,8331,359,14247
13-07-2018,15 - 16,2400,3158,8326,360,14245
13-07-2018,16 - 17,2317,3094,8309,354,14074
13-07-2018,17 - 18,2178,3286,8300,345,14109
13-07-2018,18 - 19,2210,3704,8291,314,14519
13-07-2018,19 - 20,2155,3708,8440,300,14603
13-07-2018,20 - 21,1927,3482,8257,301,13968
13-07-2018,21 - 22,1634,3263,8302,316,13515
13-07-2018,22 - 23,1182,2822,8292,350,12646
13-07-2018,23 - 00,951,2218,8261,375,11805
14-07-2018,00 - 01,608,1389,8248,384,10629
14-07-2018,01 - 02,561,1253,8234,392,10440
14-07-2018,02 - 03,488,1149,8202,391,10230
14-07-2018,03 - 04,452,1112,8202,387,10153
14-07-2018,04 - 05,515,1178,8234,378,10304
14-07-2018,05 - 06,584,1112,8201,363,10260
14-07-2018,06 - 07,780,1098,8160,340,10378
14-07-2018,07 - 08,788,1198,8140,327,10453
14-07-2018,08 - 09,1014,1327,8157,322,10819
