SYS,SE1,SE2,SE3,SE4,FI,DK1,DK2,Oslo,Kr.sand,Bergen,Molde,Tr.heim,Tromsø,EE,LV,LT,FRE
248.08,248.68,248.68,248.68,248.68,294.95,248.68,248.68,227.52,227.52,227.52,248.68,248.68,199.17,297.04,297.04,297.04,
209.85,215.05,215.05,215.05,215.05,215.05,215.05,215.05,212.09,212.09,212.09,215.05,215.05,179.19,230.16,230.16,230.16,215.05
199.95,203.36,203.36,203.36,203.65,203.36,203.36,203.65,203.36,203.36,203.36,203.36,203.36,177.53,215.98,215.98,215.98,203.36
209.85,210.66,210.66,210.66,233.9,298.63,212.91,233.9,208.02,208.02,208.02,210.66,210.66,190.46,298.63,298.63,298.63,
206.17,208.31,208.31,208.31,230.97,269.73,208.31,230.97,205.24,205.24,205.24,208.31,208.31,188.76,274.89,274.89,274.89,
201.01,201.94,201.94,201.94,221.78,245.31,204.72,221.78,201.75,201.75,201.75,201.94,201.94,189.66,260.92,260.92,260.92,
202.3,204.87,204.87,204.87,218.36,222.86,204.87,218.36,204.77,204.77,204.77,204.87,204.87,187.27,253.21,253.21,253.21,
202.01,201.25,201.25,201.25,205.66,269.74,201.25,205.66,201.25,201.25,201.25,202.24,202.24,192.11,269.74,269.74,269.74,
198.67,198.82,198.82,198.82,198.82,200.2,198.82,198.82,198.82,198.82,198.82,198.82,198.82,196.76,207.04,207.04,207.04,
188.86,188.88,188.88,188.88,188.88,189.34,186.63,188.88,188.88,188.88,188.88,188.88,188.88,188.88,279.02,279.02,279.02,
201.14,198.87,198.87,198.87,198.87,332.14,198.87,198.87,198.87,198.87,198.87,198.87,198.87,198.87,337.5,343.86,379.69,
202.33,204.77,204.77,204.77,204.77,302.66,202.64,204.77,199.14,199.14,199.14,204.77,204.77,204.77,306.5,308.08,407.28,
200.83,199.46,199.46,199.46,200.62,320.33,199.46,200.62,198.6,198.6,198.6,199.46,199.46,199.15,332.21,351.82,417.35,
197.14,195.7,195.7,195.7,199.31,277.67,195.7,199.31,195.63,195.63,195.63,195.7,195.7,195.7,290.93,305.87,330.7,
190.73,190.15,190.15,190.15,190.15,207.11,190.15,190.15,190.15,190.15,190.15,190.15,190.15,190.15,269.28,278.78,322.43,
180.97,181.07,181.07,181.07,181.07,181.3,177.83,180.07,181.07,181.07,181.07,181.07,181.07,181.07,271.2,290.24,290.24,
156.43,154.75,154.75,154.75,154.75,154.75,118.22,128.24,158.7,158.7,158.7,156.69,156.69,156.69,192.06,209.67,209.67,
