SYS,SE1,SE2,SE3,SE4,FI,DK1,DK2,Oslo,Kr.sand,Bergen,Molde,Tr.heim,Tromsø,EE,LV,LT
260.87,266.18,266.18,266.18,266.18,309.07,250.67,266.18,250.67,250.67,250.67,266.18,266.18,246.87,309.07,317.56,317.56
270.1,303.03,303.03,303.03,303.03,303.03,310.8,310.8,253.27,253.27,253.27,303.03,303.03,232.81,303.03,317.04,317.04
281.3,342.25,342.25,342.25,342.25,342.25,351.4,352.37,264.06,264.54,262.82,342.25,342.25,239.95,342.25,346.08,346.08
257.43,266.68,266.68,266.68,266.68,266.68,297.19,297.19,256.54,256.54,256.12,266.68,266.68,253.7,266.68,373.26,373.26
240.18,241.78,241.78,241.78,241.98,242.26,243.01,255.99,239.72,240.08,239.72,241.78,241.78,238.29,242.26,311.23,311.23
248.11,247.45,247.45,247.45,247.45,470.42,265.08,265.83,243.62,243.62,243.62,247.45,247.45,243.27,470.42,491.01,491.01
219.94,209.24,209.24,209.24,209.24,294.51,203.34,210.93,209.24,209.24,209.24,209.24,209.24,209.24,294.51,622.12,622.12
190.81,176.01,176.01,176.01,176.01,351.28,162.55,176.01,176.01,176.01,176.01,176.57,176.57,177,353.73,426.62,426.62
236.36,258.87,258.87,258.87,258.87,324.5,268.71,269.29,218.45,218.45,218.45,232.69,232.69,222.65,326.33,430.73,430.73
264.26,307.72,307.72,307.72,307.72,358.85,323.71,323.71,243.9,243.9,243.9,292.7,292.7,252.44,358.85,445.31,445.31
242.21,263.01,263.01,263.01,263.01,263.01,293.52,293.52,236.27,236.27,234.26,254.24,254.24,243,263.01,456.72,456.72
207.01,210.23,210.23,210.23,210.23,210.23,208.43,224.38,206.45,206.45,206.45,210.23,210.23,203.36,210.23,431.2,431.2
225.38,228.41,228.41,228.41,228.41,280.26,207.27,228.41,219.13,219.13,219.13,228.41,228.41,217.44,280.26,389.89,389.89
223.67,241.02,241.02,241.02,241.02,268.62,233.57,241.02,209.69,209.69,209.69,241.02,241.02,209.43,268.62,303.31,303.31
265.95,317.68,317.68,317.68,347.44,359.98,351.12,351.12,234.49,234.49,234.49,313.59,313.59,237.19,359.98,408,408
257.79,286.57,286.57,286.57,302.76,359.27,314.52,314.52,242.08,242.08,242.08,269.04,269.04,229.4,359.27,429.55,429.55
233.94,229.8,229.8,229.8,229.8,332.42,186.93,235.28,224.97,224.91,224.09,224.38,224.38,224.03,332.42,400.26,400.26
212.9,213.58,213.58,213.58,213.58,213.58,240.61,243.53,213.58,213.58,212.49,212.49,212.49,212,213.58,418.52,418.52
231.28,231.96,231.96,231.96,242.14,234.79,280.2,280.2,231.96,232.77,230.19,230.19,230.19,223.99,234.79,419.44,419.44
253.98,255.42,255.42,255.42,356.77,304.88,359.88,359.88,240.91,240.91,239.77,239.95,239.95,238.88,304.88,389.04,389.04
248.34,250.16,250.16,250.16,318.12,311.13,250.16,318.12,237.81,237.81,237.41,237.35,237.35,236.21,311.13,355.64,355.64
260,299.92,299.92,299.92,334.46,299.92,366.39,366.39,241.36,241.36,236.46,237.57,237.57,234.73,299.92,338.61,338.61
269.63,334.37,334.37,334.37,334.37,334.37,347.97,347.98,247.84,247.84,236.2,268.55,268.55,237,334.37,345.02,345.02
246.1,257.88,257.88,257.88,257.88,258.41,262.57,262.57,244.06,244.06,232.05,234.46,234.46,233.07,258.41,311.91,311.91
219.82,220.47,220.47,220.47,220.47,220.47,220.46,222.2,220.47,220.47,220.09,220.09,220.09,219.58,220.47,223.43,223.43
194.9,195.42,195.42,195.42,195.42,195.42,158.64,195.42,195.42,195.42,195.42,195.42,195.42,195.42,195.42,228.29,228.29
228.9,248.66,248.66,248.66,248.66,272.59,224.75,248.66,220.14,220.14,218.62,218.76,218.76,218.76,272.59,272.59,272.59
