SYS,SE1,SE2,SE3,SE4,FI,DK1,DK2,Oslo,Kr.sand,Bergen,Molde,Tr.heim,Tromsø,EE,ELE,LV,LT
341.76,337.24,337.24,337.24,337.24,337.24,362.44,368.02,344.18,344.18,344.18,339.18,339.18,339.18,322.47,336.38,,349.09
327.42,318.34,318.34,318.34,318.34,352.88,315.49,317.39,334.55,334.55,334.55,319.36,319.36,318.9,352.63,352.63,,283.46
327.88,320.88,320.88,320.88,320.88,320.88,294.3,294.3,339.58,339.58,339.58,321.38,321.38,321.38,315.19,315.19,,257.29
357.91,351.49,351.49,351.49,351.49,419.65,382.55,386.65,353.8,353.8,353.8,351.49,351.49,351.49,351.57,361.27,,372.69
342.3,340.68,340.68,340.68,340.68,340.83,338.26,363.89,345.45,345.45,345.45,340.68,340.68,340.68,331.56,347.83,,366.76
345.61,342.58,342.58,342.58,342.66,342.58,358.03,391.96,346.5,346.5,346.5,342.58,342.58,342.58,324.27,337.39,,359.33
344.19,341.44,341.44,341.44,341.44,341.44,330.34,330.5,348.45,348.45,349.1,341.79,341.79,341.7,325.29,336.44,,357.16
338.14,334.75,334.75,334.75,334.75,334.75,293.95,301.33,345.31,345.31,345.96,334.75,334.75,334.75,317.77,317.77,,356.38
331.9,327.56,327.56,327.56,327.56,327.75,251.6,255.57,341.93,341.93,341.93,330.23,330.23,327.57,326.11,326.11,,357.16
330.52,328.94,328.94,328.94,328.94,328.94,154.82,161.82,341.81,341.81,341.81,329.11,329.11,328.94,329.46,329.46,,348.22
366.73,366.83,366.83,366.83,366.83,372.05,315.63,316.06,368.67,367.11,368.67,366.83,366.83,366.83,354.4,359.76,,364.21
392.98,392.02,392.02,392.02,392.02,392.4,390.88,406.85,392.48,391.01,392.48,392.02,392.02,392.02,392.4,397.15,,371.38
416.96,412.4,412.4,412.4,412.4,412.79,411.19,466.01,414.25,414.25,414.25,412.4,412.4,412.4,412.79,431.86,,413.07
443.52,442.85,442.85,442.85,442.85,442.86,441.55,453.45,443.39,443.39,443.39,442.85,442.85,442.85,442.86,471.11,,466.85
406.2,406.91,406.91,406.91,406.91,409.6,395.7,408.54,406.96,402.58,406.96,406.91,406.91,406.91,409.6,482.69,,490.36
353.96,355.58,355.58,355.58,355.58,355.58,231.22,232.88,360.6,359.72,360.6,355.58,355.58,355.58,363.25,363.25,,403.52
343.35,342.56,342.56,342.56,342.56,342.56,90.2,90.2,355.22,354.78,355.22,342.56,342.56,342.56,378.29,378.29,,390.04
356.98,356.92,356.92,356.92,356.92,365.98,232.72,273.39,362.69,361.44,362.69,356.92,356.92,356.92,437.42,437.42,,407.41
375.06,373.73,373.73,373.73,373.73,374.67,329.51,352.61,378.8,378.15,378.8,373.73,373.73,373.73,376.6,376.79,,382.35
403.85,401.51,401.51,401.51,401.51,401.51,387.47,387.47,407.04,407.04,407.04,401.51,401.51,401.51,394.82,394.82,,394.17
469.32,467.73,467.73,467.73,467.73,478.08,456.39,456.39,470.41,470.41,470.41,467.73,467.73,467.73,476.14,476.14,,369.52
393.69,392.34,392.34,392.34,392.34,402.64,363.82,364.74,392.7,390.23,392.7,392.34,392.34,392.34,407.88,407.88,,379.08
374.13,374.43,374.43,374.43,374.43,374.43,286.03,335.71,378.1,377.68,378.1,374.43,374.43,374.43,377.9,377.9,,393.59
375.08,373.73,373.73,373.73,373.73,373.73,362.47,373.73,376.13,375.54,377.08,373.73,373.73,373.73,381.6,382.96,,380.25
390.35,387.89,387.89,387.89,387.89,387.89,375.94,387.89,393.04,389.15,398.15,387.89,387.89,387.89,399.2,422.9,,441.24
386.22,382.85,382.85,382.85,382.85,382.85,382.85,382.85,387.36,387.36,391.21,382.85,382.85,382.85,440.17,440.17,,447.23
397.08,394.42,394.42,394.42,394.42,394.42,394.42,394.42,397.76,397.76,406.49,394.42,394.42,394.42,430.74,437.2,,442.26
402.16,399.37,399.37,399.37,399.37,399.37,399.2,399.37,402.68,402.5,407.52,399.37,399.37,399.37,394.33,399.23,,435.44
392.71,387.11,387.11,387.11,387.11,387.11,357.9,357.9,396.82,396.82,418.25,387.36,387.36,387.11,392.25,392.25,,415.19
392.64,384.89,384.89,384.89,384.89,384.89,384.88,384.89,395.53,395.53,414.92,384.89,384.89,384.89,390.5,390.5,,394.47
386.45,370.62,370.62,370.62,370.62,370.62,370.62,370.62,393.99,393.99,417.87,370.62,370.62,370.62,373.47,373.47,,410.32
394.89,385.53,385.53,385.53,385.53,385.53,385.53,385.53,398.14,398.14,427.71,385.53,385.53,385.53,386.91,395.95,,395.78
469.49,467.82,467.82,467.82,467.82,467.82,467.82,467.82,469.25,469.25,488.95,467.82,467.82,467.82,463.5,465.34,,407.01
415.14,412.47,412.47,412.47,412.47,412.47,412.47,412.47,417.36,417.29,445.61,428.81,428.81,389.25,433.82,435.9,,419.87
419.72,417.18,417.18,417.18,417.18,417.18,417.18,417.18,422.9,422.66,448.24,462.22,462.22,388.71,439.69,440.22,,418.36
440.94,444.81,444.81,444.81,444.81,444.81,444.81,444.81,453.45,453.37,472.27,575.74,575.74,386.04,426.07,426.07,,402.53
414.76,409.64,409.64,409.64,409.64,409.64,409.64,409.64,419.86,418.58,428.94,453.41,453.41,379.54,425.65,425.65,,399.48
407.15,385.96,385.96,385.96,385.96,385.96,366.89,366.89,420.5,420.5,430.36,390.61,390.61,385.96,390,390,,448.5
490.76,485.13,485.13,485.13,485.13,485.13,485.12,485.13,493.32,493.32,493.41,485.13,485.13,485.13,485.13,485.13,,510.44
445.74,442.96,442.96,442.96,442.96,442.96,439.84,442.96,446.88,446.88,446.88,442.96,442.96,442.96,471.51,471.51,,487.48
448.23,446.19,446.19,446.19,446.19,446.19,417.36,426.21,451.08,450.99,451.08,446.19,446.19,446.19,471.8,471.8,,503.28
451.87,447,447,447,447,447,444.98,447,454.6,454.6,454.6,447,447,447,462.77,521.94,,497.51
444.09,437.62,437.62,437.62,437.62,437.62,437.62,437.62,447.91,447.91,447.91,437.62,437.62,437.62,456.32,545.53,,588.91
427.93,417.09,417.09,417.09,417.09,417.09,417.09,417.09,433.58,433.58,433.58,417.09,417.09,417.09,414.2,414.2,,426.36
392.81,372.07,372.07,372.07,372.07,372.07,295.23,372.07,425.72,425.72,425.78,381.24,381.24,375.04,377.4,377.4,,401.08
417.07,387.47,387.47,387.47,387.47,387.47,362.74,366.33,441.42,441.42,441.42,412.75,412.75,412.75,385.97,385.97,,379.02
421.62,416.06,416.06,416.06,416.06,416.06,408.68,416.06,427.41,427.41,427.41,464.3,464.3,402.79,416.06,416.07,,380.85
378.5,362.1,362.1,362.1,362.1,362.1,355.84,362.1,396.41,396.41,396.41,394.84,394.84,369.34,361.43,399.95,,385.5
330.9,310.24,310.24,310.24,310.24,311.93,228,281.62,355.03,355.03,356.45,340.14,340.14,337.89,308.47,323.64,,323.64
313.96,268.82,268.82,268.82,268.82,268.82,258.95,262.19,346.15,346.15,347.21,315.71,315.71,315.71,255.15,255.15,,281.93
329.48,310.71,310.71,310.71,310.71,310.71,304.12,310.71,352.81,352.81,352.81,319.96,319.96,319.96,282.39,282.39,,279.73
327.98,309.52,309.52,309.52,309.52,309.52,309.52,309.52,358.29,358.29,358.29,317.78,317.78,317.78,277.08,277.08,,272.89
358.24,333.75,333.75,333.75,362.76,333.75,363.89,363.89,373.43,373.43,373.43,339.95,339.95,339.95,309.74,309.74,,323.5
318.75,255.99,255.99,255.99,255.99,255.99,252.32,252.32,368.75,368.75,368.75,315.75,315.75,315.75,251.7,251.7,,207.24
342.55,304.39,304.39,304.39,304.92,304.39,305.42,305.42,373.39,373.39,373.39,318.91,318.91,318.91,274.53,274.53,,407.17
350.06,313.01,313.01,313.01,313.01,313.01,314.38,314.38,372.91,372.91,372.91,332.67,332.67,332.67,285.64,285.64,,250.42
345.37,335.56,335.56,335.56,335.56,335.56,311.75,311.75,361.03,361.03,365.25,341.73,341.73,341.73,292.18,292.18,,295.2
324.69,303.4,303.4,303.4,303.4,303.4,303.4,303.4,341.74,341.74,341.74,312.69,312.69,312.69,273.91,273.91,,287.16
306.83,281.24,281.24,281.24,281.24,281.24,281.28,281.24,331.9,331.9,331.9,308.49,308.49,308.49,261.63,261.63,,348.48
331.97,314.37,314.37,314.37,314.37,314.37,300.55,312.9,361.1,349.54,361.1,329.46,329.46,329.46,296.61,296.61,,330.27
338.16,312.9,312.9,312.9,312.9,312.9,314.13,314.33,361.97,359.06,364.84,329.12,329.12,329.12,296.28,296.28,,257.67
331.49,300.17,300.17,300.17,300.17,300.17,301.82,301.82,367.17,367.17,367.17,317.84,317.84,317.84,252.56,252.56,,373.44
357.24,337.67,337.67,337.67,338.91,337.67,339.98,339.98,374.17,374.17,374.17,342.31,342.31,342.31,320.68,320.68,,280.67
